,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
AK5,0.3378027,-0.0014362743,0.849558,0.025017887,0.20950994,-0.00046339765,0.22594322,0.0059969015,-0.00578544,0.3536686,0.12540054,0.28597057,-0.004196089,-0.0044508446,0.23001978,-0.0024440247
AKAP10,0.2263402,-0.0043458,0.53003126,0.31919792,0.20774421,-0.0032320044,0.26205957,0.29132998,-0.004816758,0.32315806,0.18983993,0.16086072,-0.003248303,-0.004740077,0.34408104,-0.0024403587
AKAP11,0.3558736,-0.0022020598,0.7506198,0.14757273,0.21274103,-0.001232404,0.43890685,0.022968598,-0.005017127,0.20946774,0.073699735,0.17926478,-0.003971553,-0.0042303596,0.23855922,-0.0030871788
AKAP13,-0.006111859,0.24798393,1.241758,-6.966911e-05,0.55664754,-0.00486063,-0.0015214599,0.104042634,-0.0017791351,0.41445905,0.61356145,-0.005751525,0.3077763,0.03947362,0.21488637,-0.00657811
AKAP17A,-0.0045617623,-0.0025405078,0.39416158,0.8624208,-0.0014726961,-0.0061252946,-0.00583656,0.8264851,-0.00064728304,0.28978813,0.5122437,-0.0031354993,0.19473925,-0.0013503887,0.14100283,-0.0012054992
AKAP7,0.062249992,0.06857336,0.9359437,-0.000293803,0.15016957,0.09299463,-0.0008891547,-0.0014219504,-0.0030976671,0.42365074,0.2019583,-0.0013754178,-0.00299908,-0.0054107127,0.2798862,-0.0030532323
AKAP8L,-0.006354411,0.112712964,1.0790871,0.21769041,0.37278536,-0.005974821,-0.0032664267,0.43806446,-0.0012298599,0.39283466,0.64672554,-0.0051968764,0.33879665,0.0835948,0.26170725,-0.0047707995
AKNA,-0.002427079,-0.0037276128,0.21213815,0.65592015,-0.0017671385,-0.0012023794,-0.0050044125,0.36433673,-0.003244583,0.28777486,0.1832945,0.33503234,-0.000780255,-0.003776958,0.106468424,0.22205923
AKR1A1,-0.0007680112,-0.0078717815,0.07568791,0.98127633,-0.0026061507,-0.0034824295,-0.002049167,0.90835905,-0.0004459689,0.010955915,0.10448594,0.2163201,-0.002986679,-0.0033516975,0.11176847,0.23842716
AKR1B1,0.065270714,-0.0069336323,0.081989974,0.924237,-0.0019369554,-0.0031722838,-0.0014384144,0.8414934,-0.0009131365,0.06952237,0.18540013,0.23717934,-0.0035868858,-0.0045839176,0.07324278,0.19361894
AKT1S1,0.34610224,-0.0018335163,0.83251685,0.06481663,0.2484214,-0.0006405784,0.2907871,0.015301079,-0.005538063,0.33664417,0.12712693,0.26958305,-0.004050541,-0.0044774497,0.26642102,-0.0025953709
AKT2,-0.005769451,0.17381197,1.1622069,0.08804941,0.52400553,-0.0063166497,-0.0012485487,0.15254065,-0.0030501203,0.3853062,0.6153609,-0.005136927,0.3041203,0.16190651,0.09217627,-0.0062732385
AKTIP,0.43863586,-0.00250393,0.7847648,0.10829616,0.19785646,-0.0013086529,0.5136873,0.0330581,-0.005277165,0.23690489,0.07922045,0.15041785,-0.0042769862,-0.0041371468,0.24829185,-0.0029834008
ALDH16A1,0.34196717,-0.0011160751,0.87834406,0.07404624,0.2284179,-0.0003560396,0.18227898,0.047451995,-0.005777495,0.35878682,0.15250006,0.32198602,-0.004396062,-0.0049927635,0.32839096,-0.0021674493
ALDH2,0.30283478,-0.0022984587,0.7376472,0.12901254,0.3161844,-0.001270447,0.4389125,-7.7880395e-05,-0.005207381,0.24800938,0.12246584,0.22644147,-0.003649496,-0.0043434757,0.21714485,-0.003061576
ALDH3A2,-0.0055331415,0.23527667,1.2622087,-0.0008195323,0.6025063,-0.006156196,-0.0009005289,0.074643254,-0.0027256364,0.39736608,0.67235565,-0.0055396142,0.29928303,0.113423355,0.18643402,-0.006590478
ALDH3B1,0.2896356,-0.0022623881,0.80477065,0.047569267,0.25712183,-0.0009250387,0.30635673,-0.0002564815,-0.005269868,0.31289807,0.11169193,0.21885675,-0.0033120995,-0.0039038735,0.22223538,-0.0024464144
ALDH9A1,0.2876749,-0.004232746,0.57473284,0.39612526,0.12796608,-0.002164938,0.32238108,0.26415867,-0.0036092468,0.19471055,0.024978735,0.06921825,-0.0036496047,-0.0038516517,0.23301975,-0.0020945608
ALDOC,0.3428225,-0.0033802139,0.6451623,0.14184181,0.16667324,-0.0021271547,0.27433145,0.1630228,-0.0058532474,0.38945943,0.1737096,0.28805342,-0.003225904,-0.003950305,0.31982058,-0.0016778945
ALG13,-0.0068325642,-0.0006559772,0.47766268,0.80639046,0.0823078,-0.005055623,-0.0055954317,0.786523,-4.3053104e-05,0.26705736,0.5297487,-0.0037398392,0.31555718,0.055302974,0.10755101,-0.0015962487
ALG3,0.37434122,-0.002995914,0.6774631,0.28438082,0.18203478,-0.001312415,0.49539447,0.04779449,-0.0034166286,0.11368802,-0.0002256231,0.048838742,-0.0036358188,-0.0036778229,0.2251519,-0.0028526115
ALG5,0.3843539,-0.0032832306,0.6332592,0.2964339,0.18407854,-0.0019000318,0.48649848,0.06931536,-0.0038660474,0.09938112,-0.00028632142,0.074481174,-0.0035343256,-0.00300117,0.19191998,-0.002626057
ALKBH3,0.40822652,-0.0020509174,0.85657054,0.04153101,0.16318506,-0.00064117217,0.39133656,0.014692098,-0.00578508,0.29397345,0.06794133,0.20493054,-0.0046838536,-0.0042464854,0.20501995,-0.0029596104
