,TF,Target
20691,ETS1,ZFAND3
20692,TAF1,CD300E
20693,TCF12,AURKAIP1
20694,POLR2A,SNX1
20695,POU2F1,TMEM222
20696,ELF1,PPP4C
20697,ATF3,XCL2
20698,GABPA,RP11-35G9.3
20699,GABPA,DIMT1
20700,MEF2C,HOXB2
20701,FOS,TBC1D4
20702,CEBPA,ABHD12
20703,ETS1,CLINT1
20704,STAT5B,PLAC8
20705,CBFB,DENND3
20706,RARA,SCAMP1
20707,STAT5A,MALAT1
20708,FLI1,SPATA13
20709,CEBPA,PPM1F
20710,CEBPA,SLC16A3
20711,BCL6,AC013461.1
20712,ETV6,MT-CO3
20713,CTBP2,ITGAX
20714,ESRRA,GDE1
20715,BCL6,ABHD5
20716,MEF2C,ICOS
20717,PML,AURKAIP1
20718,CTBP2,TNFAIP8L2
20719,POLR2A,SPEN
20720,GABPA,TTF1
20721,BCL6,TMX4
20722,CEBPA,LRRC59
20723,MYC,LMNA
20724,MYC,MTF1
20725,STAT1,SPIDR
20726,CREBBP,ZCCHC8
20727,SPI1,ADAM15
20728,LMO2,PXN
20729,IRF1,SYNE1
20730,LMO2,VASP
20731,GABPA,SPPL2A
20732,GABPA,TMEM101
20733,GABPA,ASXL2
20734,SPI1,PFN1
20735,BCL6,PASK
20736,MAZ,USB1
20737,ATF3,GEMIN7
20738,STAT4,THEM4
20739,ESRRA,SH3GL1
20740,TAF1,PSAP
20741,ELF1,MYL6
20742,GABPA,SAMD4B
20743,SPI1,ATG4B
20744,ESRRA,ATP11A
20745,LMO2,AOAH
20746,ELF1,MOSPD3
20747,ESRRA,HNRNPA2B1
20748,GABPA,RBM28
20749,EP300,MYCBP2
20750,POU2F2,XCL2
20751,CEBPA,CD93
20752,CREBBP,ZMAT3
20753,CEBPA,SULF2
20754,ELF1,ASH1L
20755,ETS1,SNRK
20756,IRF1,SCAPER
20757,EP300,MT-ND4
20758,CREBBP,PPP3R1
20759,ATF3,CES1
20760,ELF1,RP11-51J9.5
20761,ESRRA,ADIPOR2
20762,STAT4,RBM6
20763,ETV6,SEPT9
20764,STAT4,SYPL1
20765,SPI1,PLEKHF1
20766,MAZ,RAD1
20767,ELF1,RFC2
20768,IRF1,ZFAND2A
20769,LMO2,STX11
20770,STAT5B,RPL36A
20771,ETS1,WDR45
20772,CEBPA,LINC01272
20773,BCL6,ADAM15
20774,CEBPA,RPL10A
20775,RAD21,ABHD12
20776,CBFB,GTF2H1
20777,CEBPA,CLK3
20778,BATF,SNX3
20779,CDK9,IFNGR2
20780,STAT4,RPLP0
20781,CTBP2,ATXN1
20782,RAD21,PPM1F
20783,CBFB,SYPL1
20784,GABPA,CD69
20785,GABPA,SMCHD1
20786,GABPA,NFYC
20787,CTBP2,PPP1CA
20788,BCL6,PFN1
20789,FLI1,UBE2J1
20790,CREBBP,FOXN2
20791,IRF5,TLR2
20792,RUNX3,PKIG
20793,IRF1,TFRC
20794,ZZZ3,HELB
20795,ZZZ3,TBCD
20796,TBX21,ICOS
20797,SREBF2,SCAF1
20798,IRF5,QDPR
20799,CEBPA,C14orf159
20800,POU2F2,GEMIN7
20801,RAD21,LRRC59
20802,CBFB,RPLP0
20803,JUND,P2RY13
20804,GATA3,GPN3
20805,NFYB,HLA-C
20806,JUND,CFAP36
20807,MEF2C,FHL3
20808,POU2F1,ITGB2
20809,LMO2,INPP4B
20810,SPI1,HIST2H2BE
20811,FLI1,IDI1
20812,ETS1,KAT2A
20813,RXRA,TUBA1C
20814,CEBPA,IL1B
20815,TBX21,ITM2B
20816,BCL6,PLEKHF1
20817,LMO2,FKBP1A
20818,RXRA,ANKRD12
20819,TAF1,NBEAL2
20820,ETV6,SLC40A1
20821,MAZ,IKBIP
20822,BCL11A,IST1
20823,MEF2C,RXRA
20824,STAT3,PATL2
20825,POU2F2,TRIM38
20826,RARA,TBC1D4
20827,SPI1,DNAJC1
20828,SPI1,PLBD1
20829,SPI1,TRAF5
20830,RAD21,SULF2
20831,ETS1,SVIP
20832,NFYB,QPCT
20833,TBX21,SLC8B1
20834,CDK9,CUL2
20835,FOS,BST1
20836,TBP,COMTD1
20837,GABPA,GNAQ
20838,PML,RAB27A
20839,CEBPA,SNAP23
20840,POU2F1,NDUFV2-AS1
20841,POU2F2,BIRC3
20842,SPI1,TIMM44
20843,BRD3,C22orf46
20844,CDK9,STK17B
20845,MAZ,ARAF
20846,ETV6,CLEC11A
20847,NFYB,NCL
20848,FOS,SHTN1
20849,ATF3,GABPA
20850,CEBPA,SYTL1
20851,IRF1,LTA4H
20852,CEBPA,ARID4B
20853,EP300,CLCN3
20854,CEBPA,GOLGA8B
20855,ELF1,MSL2
20856,MAZ,POU2F2
20857,BHLHE40,RMDN3
20858,TBX21,IFI16
20859,ELF1,INTS1
20860,CDK9,PPP6R1
20861,CREBBP,DOCK11
20862,MAZ,DVL2
20863,CDK9,GRB2
20864,POLR2A,CBL
20865,BHLHE40,KCNK6
20866,EP300,ARL6IP5
20867,ATF3,ERAP1
20868,RXRA,CSF3R
20869,SPI1,SNAP47
20870,IRF5,RPL31
20871,JUND,MFSD14B
20872,RARA,P4HTM
20873,TAF1,ABCF3
20874,SPI1,EVL
20875,BCL6,PLBD1
20876,ATF2,DAAM1
20877,CDK9,ICT1
20878,CTBP2,CAPZA1
20879,BCL6,TRAF5
20880,GATA3,RAB31
20881,ESRRA,TRAPPC10
20882,BATF,RBM43
20883,ELF1,TRABD2A
20884,GATA3,CXCR3
20885,FOXP1,SLC25A6
20886,POU2F2,DENND6B
20887,TBX21,FHL3
20888,CDK9,RPLP1
20889,CEBPA,PSMD12
20890,RXRA,P2RX4
20891,BHLHE40,LINC00402
20892,BCL11A,TMED7
20893,GABPA,TMEM123
20894,TCF12,SCAI
20895,FOXP1,RPSA
20896,BATF,CYFIP1
20897,CEBPA,ACADS
20898,TBP,EIF4E3
20899,ETS1,ZDHHC24
20900,CDK9,SMARCA4
20901,ELF1,ATXN7
20902,IRF5,NBEAL1
20903,RARA,AC006369.2
20904,TBP,LINC00877
20905,NFYB,SRRM2
20906,LMO2,COX5B
20907,ATF3,GABPB1-AS1
20908,GABPA,NOL4L
20909,TBP,CAMK1
20910,GATA3,SNX1
20911,TBX21,RXRA
20912,BHLHE40,CDCA7L
20913,RUNX3,NPC2
20914,CDK9,ICAM3
20915,TAF1,MIAT
20916,TBP,SCAP
20917,ETV6,RPS25
20918,ESRRA,SH3BGRL
20919,CTBP2,SPPL3
20920,IRF1,MALSU1
20921,BATF,PTPN9
20922,STAT5B,SLCO3A1
20923,FOS,NFYB
20924,BHLHE40,SPNS3
20925,FLI1,CD79A
20926,BCL6,EVL
20927,MEF2C,H1F0
20928,GATA3,SPEN
20929,LMO2,SPAG9
20930,MAZ,CUL1
20931,ATF3,RPL35
20932,SPI1,LPP
20933,ETS1,MGRN1
20934,LMO2,EIF3E
20935,CREBBP,LINC00877
20936,ESRRA,TBXAS1
20937,CBFB,RELT
20938,POLR2A,TNFRSF14
20939,CREBBP,CAMK1
20940,FLI1,ACSL5
20941,SPI1,PRKCD
20942,CREBBP,JMJD1C
20943,TAF1,ABHD2
20944,FLI1,PMVK
20945,CEBPA,RAD21
20946,TBX21,RBM15B
20947,TBX21,RAB28
20948,MYC,PLK3
20949,ATF2,UTP3
20950,CREBBP,SCAP
20951,MAZ,C4orf48
20952,GABPA,DEXI
20953,IRF1,BTBD7
20954,RUNX3,GMIP
20955,ZZZ3,TSC22D2
20956,MAZ,HERC4
20957,FLI1,NCLN
20958,POU2F1,SNRK
20959,STAT5B,SIRPB1
20960,CTBP2,TPRG1L
20961,SPIB,H2AFV
20962,POU2F2,GABPB1-AS1
20963,ATF3,MFGE8
20964,RARA,BST1
20965,SPI1,SSFA2
20966,MYC,CHERP
20967,TAF1,EIF2AK4
20968,GABPA,C17orf49
20969,BCL11A,NCOA1
20970,FLI1,LRRC8C
20971,GABPA,SACM1L
20972,SPI1,RNF26
20973,CDK9,ALG5
20974,EP300,LRRC58
20975,ETS1,ARFGEF1
20976,RAD21,PSMD12
20977,ZZZ3,MAPK6
20978,BATF,STRN3
20979,CTBP2,GNB4
20980,RUNX3,DCAF8
20981,BHLHE40,LILRB2
20982,ATF3,CD79B
20983,RARA,SHTN1
20984,LMO2,LINC00152
20985,BCL6,LPP
20986,CTBP2,KCNE3
20987,CEBPA,PTGDR
20988,SPI1,MX2
20989,ESRRA,CALM2
20990,IRF1,AHR
20991,MAZ,RSBN1
20992,IRF1,CYB561D2
20993,BCL6,PRKCD
20994,EP300,MORC2
20995,POU2F2,RPL35
20996,CTBP2,UBE2V1
20997,LMO2,GPKOW
20998,SPIB,CPNE2
20999,BCL11A,C1orf132
21000,IRF5,PAK1
21001,JUND,APOBR
21002,EP300,DENND4B
21003,ETS1,PPP6R1
21004,RXRA,FBP1
21005,ATF3,EPC1
21006,CREBBP,BCL9L
21007,CREBBP,SMAD2
21008,EP300,ATG101
21009,POLR2A,LY96
21010,FOS,LINC00402
21011,BHLHE40,DENND1B
21012,BHLHE40,PSMD11
21013,NFYB,PWWP2A
21014,SPIB,SERTAD1
21015,CDK9,NRAS
21016,RXRA,CD33
21017,ESRRA,C3orf58
21018,PML,STOM
21019,MEF2C,CD4
21020,STAT4,TNIK
21021,GATA3,TMX3
21022,ETS1,ICT1
21023,GABPA,RPS21
21024,CEBPA,GAMT
21025,TAF1,DYM
21026,IKZF1,SIPA1
21027,MAZ,CPPED1
21028,CEBPA,KIAA2013
21029,BHLHE40,AKT1S1
21030,BHLHE40,RIN3
21031,CREBBP,PITPNM1
21032,ETS1,RPLP1
21033,GABPA,EIF2A
21034,BCL6,SSFA2
21035,RXRA,SMARCA4
21036,GABPA,PRDX2
21037,BATF,SMCO4
21038,SPIB,RAD9A
21039,MAZ,DNAJA1
21040,CTBP2,YIF1B
21041,POU2F2,RPS2
21042,CEBPA,NECAP1
21043,FLI1,MTHFD2L
21044,BRD3,AKT2
21045,CBFB,CALR
21046,CTBP2,ZFPL1
21047,ATF3,ACAP1
21048,CDK9,PPP6R2
21049,CEBPA,FLII
21050,GATA3,CD37
21051,CEBPA,VPS33A
21052,ETS1,ICAM3
21053,CTBP2,POLR2J3
21054,ETV6,APAF1
21055,POU2F2,RAB32
21056,CEBPA,TM2D3
21057,IRF1,SHISA5
21058,EP300,SFI1
21059,BRD3,MSRA
21060,TAF1,PRR5
21061,GABPA,TMBIM4
21062,CTBP2,HIST3H2A
21063,ETV6,NCOA2
21064,SPI1,IL12RB1
21065,BCL11A,HMOX1
21066,LYL1,DBNL
21067,STAT5B,AGO1
21068,ETS1,PCNA
21069,FLI1,KAT6B
21070,TBX21,OGDH
21071,FOXP1,HLA-B
21072,CREBBP,TESPA1
21073,ETV6,EMILIN2
21074,BHLHE40,CIB1
21075,SPI1,SUPT5H
21076,STAT4,TMSB4X
21077,POLR2A,CD59
21078,ZZZ3,RUNX2
21079,MYC,EZR
21080,CDK9,NAA50
21081,GABPA,TBX21
21082,STAT4,ZZEF1
21083,RUNX3,MYL12B
21084,FOS,LILRB2
21085,CDK9,B2M
21086,IRF5,GSTP1
21087,TBP,S100A9
21088,BRD3,AQP3
21089,EP300,PHTF2
21090,FOS,LDLRAD4
21091,JUND,SEMA4A
21092,GATA3,ARRDC3
21093,EP300,NEK9
21094,SIN3A,LRRC47
21095,TBX21,C4orf3
21096,CEBPA,SH3BGRL3
21097,RXRA,LILRB4
21098,CBFB,ZZEF1
21099,ESRRA,RASGRP2
21100,STAT4,TMED1
21101,EP300,RPUSD3
21102,FOS,DENND1B
21103,CTBP2,EPHX2
21104,BCL6,MAPK1
21105,RUNX3,PFN1
21106,CEBPA,ARHGAP26
21107,EP300,PARP1
21108,FOXP1,AVL9
21109,MYC,ARMC6
21110,GABPA,GPR171
21111,BCL6,TIGIT
21112,EP300,NME6
21113,TBP,TPT1
21114,GABPA,CEP78
21115,POU2F1,IFNGR2
21116,ETS1,CSRNP1
21117,TBP,C22orf46
21118,EP300,TRMT6
21119,SPI1,C12orf76
21120,IRF1,ACTR2
21121,BCL11A,TYK2
21122,IRF5,FAM210B
21123,BCL6,SUPT5H
21124,FOS,AKT1S1
21125,IRF1,CLCN3
21126,FLI1,CERK
21127,FLI1,CCDC88A
21128,GATA3,DPYD
21129,CDK9,SP3
21130,ZZZ3,ANPEP
21131,POU2F2,FAM175A
21132,TBL1XR1,DENND4A
21133,ETS1,DPP8
21134,LMO2,VAMP8
21135,GATA3,CD2AP
21136,CDK9,BCL11A
21137,CREBBP,ARID5A
21138,RUNX3,CYB5R1
21139,ETS1,RASSF4
21140,IRF5,STX11
21141,CREBBP,TPT1
21142,EP300,ETS2
21143,ETV6,RPS6KA4
21144,ELF1,HIST1H2AC
21145,ESRRA,CREBL2
21146,CREBBP,C22orf46
21147,FOS,FAM120AOS
21148,SPI1,PRNP
21149,FOXP1,IFITM3
21150,NFYB,BCL2L1
21151,LMO2,MEF2D
21152,MAZ,NIPSNAP1
21153,RUNX3,HLA-A
21154,CEBPA,EFR3A
21155,RXRA,ANKRD44
21156,FOXP1,ASGR1
21157,RUNX3,CTBP1
21158,GABPA,CDKN2D
21159,GABPA,TMEM138
21160,SPI1,WDR45B
21161,RXRA,OTUD4
21162,LMO2,NOC4L
21163,ZZZ3,TNFAIP2
21164,EP300,RNF130
21165,ETS1,TXLNG
21166,NFYB,GADD45A
21167,FLI1,TTC7A
21168,FLI1,BANK1
21169,GATA3,MLXIP
21170,POU2F1,CUL2
21171,ZNF143,PPP1R14B
21172,RAD21,SH3BGRL3
21173,FOS,CIB1
21174,STAT5B,ITGAX
21175,RXRA,PDZD11
21176,CTBP2,RPL10A
21177,SPI1,RETN
21178,CEBPA,NLRP1
21179,STAT4,MGST2
21180,MEF2C,PTRH1
21181,CEBPA,SYNGR2
21182,JUND,CLEC7A
21183,ESRRA,IGF2R
21184,EP300,ATP6V0A1
21185,GABPA,ZC3H11A
21186,ETS1,TMEM71
21187,BCL6,ALDOC
21188,ETS1,VPREB3
21189,ESRRA,MT-CO3
21190,BHLHE40,SLC12A7
21191,BATF,YWHAB
21192,GABPA,ARHGAP30
21193,CDK9,MAN2A1
21194,LMO2,HNRNPU
21195,TAF1,MAPK6
21196,BRD3,MNT
21197,RXRA,B2M
21198,POU2F1,PPP6R1
21199,ETS1,MVD
21200,RARA,PSMA7
21201,IRF1,CDK11B
21202,TAF1,SLC2A4RG
21203,CREBBP,PSEN1
21204,TCF12,RP11-138A9.1
21205,CBFB,PTPRE
21206,ATF3,TMEM214
21207,ETS1,NAA50
21208,MAZ,CHPT1
21209,BATF,SLA2
21210,LMO2,RPUSD4
21211,MAX,TMED5
21212,EP300,JAK1
21213,ATF2,CASC3
21214,GABPA,RNF115
21215,BHLHE40,MTMR11
21216,LMO2,STAT3
21217,EP300,HERPUD1
21218,STAT4,TOM1
21219,BHLHE40,PTP4A3
21220,ESRRA,MPRIP
21221,BHLHE40,TIMP2
21222,POU2F1,RPLP1
21223,ATF3,SENP5
21224,BRD3,HDAC10
21225,BCL6,RETN
21226,FLI1,INIP
21227,POU2F2,HIST1H1D
21228,ATF3,WWP1
21229,CDK9,HNRNPR
21230,ETS1,DNAJC3
21231,STAT4,DAZAP2
21232,CBFB,TOM1
21233,FOXP1,ZBTB25
21234,TBP,FTSJ3
21235,ELF1,KDM2A
21236,PML,CHPT1
21237,BATF,GIMAP8
21238,ATF3,HIPK1
21239,BATF,CHN2
21240,TAF1,RUFY1
21241,LMO2,CCL4L2
21242,RAD21,NFKBIA
21243,LMO2,GRINA
21244,EP300,SCNM1
21245,ESRRA,CENPT
21246,GABPA,ZYG11B
21247,ETS1,SP3
21248,RXRA,MAP4K5
21249,TBP,CD300A
21250,CEBPA,S100PBP
21251,LYL1,TCF12
21252,CDK9,GPN3
21253,LYL1,PER1
21254,IRF1,DENND4B
21255,TBP,MAP4
21256,NFYB,ARHGEF1
21257,TBX21,PTRH1
21258,FLI1,ZNF669
21259,FLI1,SMYD3
21260,TAF1,ITGAM
21261,IRF1,CXCL8
21262,SPI1,DCAF13
21263,SPI1,NIT1
21264,RARA,RPS8
21265,JUND,TUBA1C
21266,ZZZ3,BTG1
21267,GABPA,TRIM38
21268,MYC,FZR1
21269,STAT4,TRG-AS1
21270,FOXP1,SORBS3
21271,ETS1,PSMA6
21272,ETS1,NAGA
21273,ELF1,DUSP1
21274,FOS,PGD
21275,BCL6,TVP23B
21276,GATA3,CD59
21277,SPI1,CRELD2
21278,TCF12,ZNF511
21279,FOS,SLC12A7
21280,BRD3,ATG16L2
21281,TAF1,ADA
21282,CDK9,IL13RA1
21283,TBP,AKT2
21284,CTBP2,ACADS
21285,RXRA,SUPT3H
21286,IRF5,EIF3E
21287,CEBPA,RP11-707G18.1
21288,MYC,WSB1
21289,ESRRA,SLC40A1
21290,POLR2A,GSN
21291,BCL6,MON2
21292,MAZ,KIAA0040
21293,CTBP2,LSM4
21294,RUNX3,PRKCD
21295,MAZ,RMDN3
21296,IRF1,SFI1
21297,GATA3,EXOSC7
21298,ATF3,CACNA2D3
21299,SPI1,LRRFIP1
21300,LMO2,GAPDH
21301,FLI1,HSPH1
21302,POU2F1,CSRNP1
21303,SPI1,CITED4
21304,SPI1,UQCC3
21305,BCL6,SCAF11
21306,SPI1,ARF5
21307,MAZ,KCNK6
21308,ETS1,MAN2A1
21309,BCL6,DCAF13
21310,FOS,PTP4A3
21311,TCF12,MVP
21312,SPI1,DGKZ
21313,FOS,TIMP2
21314,BCL6,NIT1
21315,ATF3,RP2
21316,ATF3,SARAF
21317,EP300,TPST2
21318,TBP,MRRF
21319,MAZ,MARCH5
21320,SPIB,PIGX
21321,CEBPA,SEC24C
21322,ATF3,MTF1
21323,JUND,CSF3R
21324,BCL6,NF2
21325,ESRRA,CLEC11A
21326,SPIB,CD1D
21327,CEBPA,POLR2L
21328,LMO2,PLP2
21329,BCL6,CRELD2
21330,CDK9,SSR4
21331,ETS1,ASMTL
21332,CDK9,BCLAF1
21333,POLR2A,MBOAT7
21334,NFYB,MID1IP1
21335,FLI1,NDRG1
21336,GABPA,DENND6B
21337,POU2F1,CCSER2
21338,LMO2,TAPBPL
21339,TCF12,SH3TC1
21340,RARA,SYTL3
21341,CREBBP,PPIB
21342,TAF1,ANPEP
21343,CREBBP,CAPG
21344,CREBBP,CSTB
21345,JUND,P2RX4
21346,FLI1,RCSD1
21347,MAZ,SLC35C2
21348,CDK9,ZBTB44
21349,RXRA,SLC18B1
21350,ETS1,HNRNPR
21351,FLI1,EIF2S3
21352,CDK9,SNX1
21353,RAD21,SIAH2
21354,BCL6,LRRFIP1
21355,GABPA,COA4
21356,BCL11A,ACTG1
21357,ATF2,CTNNA1
21358,FOXP1,IPCEF1
21359,RXRA,PTMS
21360,STAT4,SIRPG
21361,RXRA,CDC14A
21362,STAT4,HLA-DMA
21363,EP300,PSMB10
21364,IRF1,NME6
21365,CEBPA,AKAP13
21366,FLI1,UBE2B
21367,RUNX3,PARP10
21368,GABPA,CD164
21369,IRF1,TRMT6
21370,FOXP1,SNX2
21371,MAZ,ANKHD1
21372,SPIB,DIAPH1
21373,TBX21,ARPC1B
21374,SREBF2,LILRA5
21375,POU2F2,RP2
21376,CDK9,SPEN
21377,STAT4,CKAP4
21378,CEBPA,KIF5B
21379,ETS1,GPN3
21380,POU2F2,LMNA
21381,TAF1,LAMTOR5
21382,NFYB,ADAP1
21383,FLI1,CD55
21384,CEBPA,QTRT1
21385,TAF1,TNFAIP2
21386,MAZ,ARRDC2
21387,LMO2,MIF4GD
21388,CDK9,TM2D2
21389,POU2F2,CLIP4
21390,BHLHE40,STAT1
21391,ESRRA,RPS25
21392,SPI1,TBC1D10C
21393,STAT1,SORBS3
21394,SIN3A,MNT
21395,BATF,LTBR
21396,ESRRA,SLC25A5
21397,IRF1,ETS2
21398,CEBPA,KDSR
21399,LYL1,SMIM14
21400,STAT4,IL17RA
21401,CREBBP,STRBP
21402,CTBP2,GAMT
21403,TAF1,OTUD5
21404,TAF1,RNF14
21405,GABPA,RRAGC
21406,RXRA,IL13RA1
21407,CEBPA,RASA4
21408,GABPA,GABPB1-AS1
21409,CEBPA,ATPAF2
21410,EP300,GALNT2
21411,RARA,SLC12A7
21412,GATA3,RUNX2
21413,CBFB,TAF6
21414,EP300,SCAMP1-AS1
21415,CREBBP,SQRDL
21416,MEF2C,GTF3C1
21417,ATF2,FLOT1
21418,ETS1,AIDA
21419,JUND,CYSTM1
21420,STAT5B,TPRG1L
21421,LYL1,ABLIM1
21422,GABPA,EFTUD2
21423,STAT4,ZBTB43
21424,CTBP2,CD52
21425,ATF3,IP6K1
21426,BCL6,CYBA
21427,SPI1,SIRT6
21428,RXRA,PSAP
21429,RUNX3,SUPT5H
21430,NFYB,FOSB
21431,IRF1,ATP6V0A1
21432,MAZ,ZNF146
21433,FOXP1,MEGF9
21434,MAZ,DENND1B
21435,EP300,ABCF2
21436,ETS1,PES1
21437,BCL6,MAP3K13
21438,MAZ,PSMD11
21439,STAT5B,KCNE3
21440,BCL6,TBC1D10C
21441,FLI1,MOSPD3
21442,BHLHE40,RBM43
21443,LMO2,UAP1
21444,CTBP2,RPL4
21445,FLI1,DESI2
21446,MEF2C,HOXB-AS1
21447,RXRA,CXCR3
21448,SPI1,ANKRD17
21449,TBP,CHMP1B
21450,LYL1,L3MBTL2
21451,CDK9,TMX3
21452,JUND,CD33
21453,BATF,MSRB1
21454,MEF2C,SAMSN1
21455,CEBPA,BCL2
21456,ETS1,SSR4
21457,CBFB,FAM228B
21458,ETS1,BCLAF1
21459,BRD3,SYPL1
21460,MAZ,AKT1S1
21461,MAZ,GNG2
21462,BHLHE40,CYFIP1
21463,LMO2,NUP214
21464,IRF1,JAK1
21465,ETS1,SCYL2
21466,ATF3,ZADH2
21467,FLI1,TIMP1
21468,EP300,AKAP10
21469,GABPA,CTSC
21470,MYC,ABHD14B
21471,SPI1,TMEM245
21472,LMO2,RHOH
21473,GABPA,RPS2
21474,TCF12,RIN3
21475,TCF12,AKT1S1
21476,ETV6,HLA-C
21477,CBFB,TARBP1
21478,ATF2,MARCH8
21479,CDK9,CD37
21480,CREBBP,CHMP1B
21481,LMO2,DCAF16
21482,BCL6,HMOX2
21483,POLR2A,ADD1
21484,GABPA,RAB32
21485,CEBPA,ZNF7
21486,CEBPA,PYGL
21487,FLI1,IGFBP7
21488,BRD3,ZBTB38
21489,ETV6,SLC4A1AP
21490,IRF5,VAMP8
21491,CEBPA,NDRG3
21492,BHLHE40,RPL7A
21493,IRF1,MAPK1IP1L
21494,CREBBP,ZFP36L1
21495,ESRRA,GPR155
21496,FOXP1,ATF3
21497,STAT5B,POLR2J3
21498,STAT4,AZI2
21499,EP300,MRPL15
21500,IRF1,SCNM1
21501,EP300,GPX1
21502,TCF12,RPS8
21503,IRF5,MEF2D
21504,ATF3,MYL12A
21505,MAZ,CIB1
21506,GATA3,ELMO1
21507,CBFB,PTPN6
21508,GABPA,MKL1
21509,ESRRA,APAF1
21510,CTBP2,CUTA
21511,FLI1,MTHFD2
21512,CBFB,DYNC1H1
21513,FLI1,KCNN4
21514,CTBP2,TMA7
21515,NFYB,NRROS
21516,TCF12,WRAP73
21517,BCL6,TMEM245
21518,STAT4,RPS4X
21519,TAF1,KDM3A
21520,LMO2,COTL1
21521,STAT4,CHKB
21522,ETV6,NCL
21523,ATF3,RPL12
21524,GABPA,MIB2
21525,CDK9,CBL
21526,POLR2A,LGALS3
21527,BCL6,METAP1
21528,RARA,PLAUR
21529,GATA3,GALK2
21530,CDK9,PTPN12
21531,MAZ,ZNF160
21532,CEBPA,RBM47
21533,ESRRA,EMILIN2
21534,CBFB,CHKB
21535,JUND,LILRB4
21536,CEBPA,MUS81
21537,ETS1,TCF12
21538,FOS,RBM43
21539,GATA3,MBOAT7
21540,TBP,ATG16L2
21541,STAT5B,HDAC7
21542,BCL11A,ATG101
21543,EP300,SNX10
21544,CEBPA,MAF1
21545,IRF5,HNRNPU
21546,MAZ,RFC1
21547,ATF3,PPP5C
21548,LMO2,C5AR1
21549,JUND,CX3CR1
21550,ATF3,RARA
21551,CEBPA,TTC9C
21552,FLI1,PIAS2
21553,FOS,CYFIP1
21554,FLI1,INTS1
21555,STAT5B,EPHX2
21556,MAZ,ERCC5
21557,GABPA,GCHFR
21558,IRF1,PSMB8
21559,LMO2,PRAM1
21560,NFYB,SUN1
21561,POLR2A,MZB1
21562,POU2F2,MYL12A
21563,RARA,LY6E
21564,FLI1,RGS19
21565,FLI1,CD244
21566,EP300,TLE3
21567,CDK9,DPYD
21568,CEBPA,MFSD1
21569,RAD21,NDRG3
21570,RARA,SNX3
21571,IRF1,PDLIM2
21572,SPI1,CLIC1
21573,CDK9,API5
21574,GABPA,SEC23A
21575,ETV6,SRRM2
21576,GABPA,KATNA1
21577,GATA3,E2F3
21578,CDK9,CD2AP
21579,CDK9,FH
21580,STAT5A,MFGE8
21581,TCF12,SLC25A1
21582,EP300,GGA2
21583,ETS1,TMX3
21584,FLI1,TRABD2A
21585,CTBP2,SAT1
21586,CDK9,KIAA1551
21587,ETS1,RAB3GAP1
21588,FOS,PTPN9
21589,CDK9,ZNF264
21590,LMO2,SEPT11
21591,STAT4,IGSF6
21592,STAT4,UBB
21593,GABPA,RANGRF
21594,POU2F2,RPL12
21595,CEBPA,BTK
21596,POU2F2,CD22
21597,FLI1,ATXN7
21598,CDK9,TNFRSF14
21599,CEBPA,WDFY1
21600,BCL6,CSNK2A2
21601,LMO2,SLC8A1
21602,CEBPA,UBE2L6
21603,GABPA,SEC11A
21604,NFYB,LILRA5
21605,IRF5,CCL4L2
21606,FLI1,G6PD
21607,CTBP2,WHSC1L1
21608,JUND,TRAF3IP3
21609,CEBPA,MTHFS
21610,RUNX3,TBPL1
21611,CBFB,SYTL3
21612,ELF1,HNRNPAB
21613,GATA3,MAPKAPK2
21614,ETS1,RNF38
21615,GATA3,BTG1
21616,ETV6,KCTD12
21617,STAT4,SPRYD3
21618,POU2F2,RARA
21619,CDK9,MLXIP
21620,CEBPA,SPRTN
21621,FOXP1,DPH7
21622,GABPA,DDX24
21623,STAT1,ATF3
21624,BATF,CEBPD
21625,FOS,UBALD1
21626,GATA3,RPS6
21627,LMO2,RNF19A
21628,ELF1,ILKAP
21629,POU2F2,CHERP
21630,BCL6,CLIC1
21631,LMO2,SLC7A7
21632,FLI1,UBLCP1
21633,BHLHE40,ODF2
21634,IRF1,PSMB10
21635,JUND,PDZD11
21636,RXRA,ABHD2
21637,CTBP2,SOAT1
21638,POU2F2,TACC3
21639,ATF3,DHRS3
21640,SPIB,ADRBK2
21641,SPI1,VPS4A
21642,STAT5B,RPL10A
21643,FLI1,TPK1
21644,CBFB,SPRYD3
21645,IRF1,FOXP1
21646,FOS,STRN3
21647,ATF3,FEM1A
21648,TAF1,EPN1
21649,LMO2,TRIM14
21650,TBP,DENND3
21651,TCF12,SLC12A7
21652,EP300,CSGALNACT1
21653,CTBP2,KLF2
21654,TBX21,MEF2C
21655,TP53,RAD51C
21656,RUNX3,CRELD2
21657,CEBPA,EPHA1-AS1
21658,STAT5B,C14orf159
21659,POU2F2,NRGN
21660,ATF2,TRAF3IP3
21661,MAZ,MTMR11
21662,BCL11A,HCFC1
21663,ETS1,CBL
21664,MAZ,PTP4A3
21665,MAZ,TIMP2
21666,ELF1,CISH
21667,ETS1,ARRDC3
21668,SPI1,KIAA0586
21669,FLI1,TCOF1
21670,CEBPA,SCO2
21671,GATA3,CMSS1
21672,GABPA,FAM214A
21673,IRF1,ATP6V0B
21674,CREBBP,DENND3
21675,IRF1,SCAMP1-AS1
21676,BATF,GBP1
21677,CREBBP,BATF
21678,GABPA,HIST1H1D
21679,RAD21,BTK
21680,ZZZ3,RPL18A
21681,POU2F2,ORAI2
